mach_bin,independent_ratio,independent_low_K,independent_high_K,reference_ratio,reference_low_K,reference_high_K,max_absolute_delta,pass
0.85,1.1444999999999999,247.95592499999998,286.52557499999995,1.1444999999999999,247.95592499999998,286.52557499999995,0.0,True
1.0,1.2,259.98,300.41999999999996,1.2,259.98,300.41999999999996,0.0,True
1.5,1.45,314.1425,363.0075,1.45,314.1425,363.0075,0.0,True
2.0,1.7999999999999998,389.96999999999997,450.62999999999994,1.7999999999999998,389.96999999999997,450.62999999999994,0.0,True
3.0,2.8,606.62,700.9799999999999,2.8,606.62,700.9799999999999,0.0,True
5.0,5.999999999999999,1299.8999999999999,1502.0999999999997,5.999999999999999,1299.8999999999999,1502.0999999999997,0.0,True
